unique_user_id,user_type,error
873e4275daabf5ab6eff5331277244a4,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
6efb7dc38e85a310c7e72b291d947fcf,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
23df7c519d15201c2c60f0ab1ae41814,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
a51c10e4ba5836dce272ad99d9f36283,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
26d1b63e9b8478f84f87188c4877049e,high_churn_risk,"NameError(""name 'standardize_score_column' is not defined"")"
a6067b8524c5ace8872e34f87a37c3f1,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
616ffe00f60a62eeabb276603a7971f8,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
d1085381045ea6f88be5cc3e14c61e55,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
e78838df9c44e102b6ac84cc5eea7d5c,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
c4063084f01f085897c04bcbd81fcb69,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
1ce1097b476f97ea37d805251c5c74ba,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
d74c9bb007238fda00a3ea54422fa110,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
9feb173c01e083d641d2a5ec10b304e5,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
fb8c74f4449e5a62e3c1296f75304ae1,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
e6f7a95a474d4f2224834b896c22f66f,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
b8b3c435a58aebd788a477bed8342910,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
df1f61c43368a8ed99dc76b43594fc4b,high_churn_risk,"NameError(""name 'standardize_score_column' is not defined"")"
b2c913a0723c7737e11067861e061913,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
0e4d012fac3d20c033e0284fb6d2ea6a,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
51838d41add414a0b1b989b7d251d9ee,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
9478384db2bccc092709b5b0b82f8ead,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
e9b87dccd9c326a3325385087eb0150c,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
3cbfa8093b3ae36fc7a01c0a263e0389,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
9689908caf4de73724feed92175d867a,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
a239b8e2fbce33780f1f1912e2ee5275,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
a73c5464692d3bc09d64e3edefae9015,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
8581bbeb56d3b44ff048f21b5d74eeab,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
f34cd7fd85a1f8baff886edf09567be3,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
400c8e8063481d1eae8f277f5c0de85b,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
c7c19110042036e6266adc998cbf1289,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
bd86b1862fe796149a4d2af57bd85451,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
b118181abcb0f3623b02187e09399f27,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
0aa1ab39ff2b837c05d7c9ff85b6d983,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
4e15fee963523774998876e3624952f4,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
6428403ac3b03984c38fd083fa1647b0,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
b2bd387fdc3cf05931f0f897d607dc88,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
194be31520cde5c527bad17720119e85,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
7779fdf670bfe673e064b9aa5447674e,high_value_user,"NameError(""name 'standardize_score_column' is not defined"")"
4b3c510f9ea64334c6b7ead20dd23248,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
4755e6cf97a25760ab159e0457c84a29,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
e585519b42291f931a5ec37c75cdb7ee,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
8d0e0879191d761df1fde63cd721065d,new_user,"NameError(""name 'standardize_score_column' is not defined"")"
ab744045d2445f5bae53b57a4b99bfbf,active_regular,"NameError(""name 'standardize_score_column' is not defined"")"
1cc48564488184883cc7923b82c7b3f9,high_churn_risk,"NameError(""name 'standardize_score_column' is not defined"")"
