product_id,personalized_score,final_score,diversity_score,strategy,category,source_count,avg_price,avg_review_score,sales_count,unique_user_id,user_type,has_cached_candidates
a237de12bdf0bfe4fe220bae65a89731,3.6555652621216588,1.12,1.12,new_user_content_diverse,moveis_decoracao,,38.668056,4.5278,36.0,6cf20fae2683f7ed1952aa20791a500e,new_user,False
288dbc06591742c5d7fe90fbfb08943e,3.6555652621216588,1.0673684210526317,0.9473684210526317,new_user_content_diverse,moveis_decoracao,,118.228,4.36,25.0,6cf20fae2683f7ed1952aa20791a500e,new_user,False
44a34214a57dc373dcd80f54c919d006,3.6555652621216588,0.9347368421052632,0.9347368421052632,new_user_content_diverse,esporte_lazer,,29.5,4.2258,63.0,6cf20fae2683f7ed1952aa20791a500e,new_user,False
e03102efbc2229024c89be731f0aedcb,3.6555652621216588,0.8421052631578947,0.8421052631578947,new_user_content_diverse,papelaria,,36.79434,4.1887,53.0,6cf20fae2683f7ed1952aa20791a500e,new_user,False
d696750e550fd0f733979dd7e5dff921,3.6555652621216588,0.8294736842105264,0.8294736842105264,new_user_content_diverse,utilidades_domesticas,,172.944912,4.5263,57.0,6cf20fae2683f7ed1952aa20791a500e,new_user,False
e2e426d1332240070b0a836a854d057b,3.6555652621216588,0.6189473684210527,0.6189473684210527,new_user_content_diverse,cama_mesa_banho,,37.814286,4.5714,35.0,6cf20fae2683f7ed1952aa20791a500e,new_user,False
a8fe47ad6f852f93cc92c7b408687de3,3.6555652621216588,0.736842105263158,0.616842105263158,new_user_content_diverse,esporte_lazer,,72.605882,4.0,34.0,6cf20fae2683f7ed1952aa20791a500e,new_user,False
65266b2da20d04dbe00c5c2d3bb7859e,3.6555652621216588,0.6842105263157895,0.5642105263157895,new_user_content_diverse,papelaria,,21.8,3.725,40.0,6cf20fae2683f7ed1952aa20791a500e,new_user,False
363218ba55c610b750224f90bdd34be1,3.6555652621216588,0.5663157894736843,0.44631578947368433,new_user_content_diverse,cama_mesa_banho,,80.503837,4.4651,86.0,6cf20fae2683f7ed1952aa20791a500e,new_user,False
fb55982be901439613a95940feefd9ee,3.6555652621216588,0.631578947368421,0.33157894736842103,new_user_content_diverse,papelaria,,80.785714,4.1707,84.0,6cf20fae2683f7ed1952aa20791a500e,new_user,False
e8b61f78db501ea0ca45677d1ca27de2,4.12378108415039,1.12,1.12,new_user_content_diverse,brinquedos,,29.0,4.375,8.0,6cf4228e1512fc12c0d2b932cca21bdc,new_user,False
